"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/01/2025";"0600";"24,7";"24,8";"24,2";"87,0";"89,0";"86,0";"22,3";"22,6";"22,1";"991,0";"991,0";"990,9";"0,0";"133,0";"0,0";"";"0,0"
"06/01/2025";"0700";"24,7";"24,7";"24,4";"88,0";"89,0";"87,0";"22,5";"22,7";"22,3";"990,8";"991,0";"990,8";"0,0";"52,0";"0,0";"";"0,0"
"06/01/2025";"0800";"23,9";"24,7";"23,9";"90,0";"90,0";"87,0";"22,1";"22,5";"22,1";"990,6";"990,8";"990,6";"0,0";"140,0";"0,0";"";"0,0"
"06/01/2025";"0900";"23,4";"23,9";"23,3";"91,0";"91,0";"90,0";"21,8";"22,1";"21,7";"991,4";"991,4";"990,6";"0,0";"138,0";"1,3";"";"0,0"
"06/01/2025";"1000";"25,3";"25,6";"23,2";"82,0";"91,0";"81,0";"22,0";"22,9";"21,5";"992,2";"992,2";"991,4";"0,0";"29,0";"0,5";"172,90";"0,0"
"06/01/2025";"1100";"28,1";"28,2";"25,3";"72,0";"82,0";"71,0";"22,5";"22,9";"21,5";"993,0";"993,0";"992,2";"0,0";"128,0";"0,0";"749,30";"0,0"
"06/01/2025";"1200";"30,4";"30,9";"28,0";"61,0";"73,0";"59,0";"22,0";"23,2";"21,4";"993,1";"993,1";"993,0";"0,0";"115,0";"0,0";"1614,90";"0,0"
"06/01/2025";"1300";"31,3";"31,3";"30,1";"61,0";"66,0";"57,0";"23,0";"23,5";"21,6";"993,3";"993,3";"993,1";"0,0";"144,0";"1,8";"1990,50";"0,0"
"06/01/2025";"1400";"32,7";"33,6";"31,3";"55,0";"62,0";"51,0";"22,5";"23,9";"21,3";"992,9";"993,3";"992,9";"0,5";"304,0";"3,5";"3065,20";"0,0"
"06/01/2025";"1500";"33,3";"34,0";"32,3";"53,0";"57,0";"47,0";"22,5";"23,0";"20,7";"992,2";"992,9";"992,2";"0,8";"344,0";"4,8";"3225,30";"0,0"
"06/01/2025";"1600";"35,1";"35,1";"33,3";"42,0";"56,0";"41,0";"20,1";"23,9";"19,2";"991,3";"992,2";"991,3";"1,1";"350,0";"4,8";"3678,10";"0,0"
"06/01/2025";"1700";"34,9";"35,7";"34,0";"48,0";"50,0";"40,0";"22,3";"22,7";"19,8";"990,5";"991,3";"990,5";"0,2";"285,0";"4,4";"3339,20";"0,0"
"06/01/2025";"1800";"35,9";"36,2";"34,1";"42,0";"52,0";"41,0";"21,0";"23,6";"21,0";"989,2";"990,5";"989,2";"0,5";"238,0";"5,6";"3163,30";"0,0"
"06/01/2025";"1900";"33,6";"35,9";"33,6";"50,0";"55,0";"40,0";"21,7";"23,8";"20,2";"988,6";"989,2";"988,6";"2,9";"311,0";"7,7";"2788,90";"0,0"
"06/01/2025";"2000";"33,9";"33,9";"31,7";"46,0";"53,0";"44,0";"20,7";"21,7";"19,7";"987,7";"988,6";"987,7";"0,5";"32,0";"9,1";"1960,50";"0,0"
"06/01/2025";"2100";"33,4";"35,2";"33,4";"47,0";"50,0";"42,0";"20,5";"22,2";"19,4";"987,7";"987,7";"987,5";"0,0";"346,0";"2,8";"1137,60";"0,0"
"06/01/2025";"2200";"31,8";"33,7";"31,8";"52,0";"57,0";"45,0";"20,8";"22,5";"19,8";"988,1";"988,1";"987,6";"0,0";"250,0";"2,8";"224,70";"0,0"
"06/01/2025";"2300";"30,4";"31,8";"30,4";"61,0";"63,0";"52,0";"22,0";"23,4";"20,9";"988,8";"988,8";"988,1";"0,0";"317,0";"0,8";"11,40";"0,0"
