"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"09/06/2025";"0600";"19,4";"20,0";"19,4";"84,0";"86,0";"84,0";"16,7";"17,3";"16,7";"998,4";"998,4";"998,1";"0,9";"236,0";"4,3";"";"0,0"
"09/06/2025";"0700";"18,6";"19,3";"18,6";"83,0";"84,0";"82,0";"15,7";"16,6";"15,6";"998,5";"998,5";"998,3";"0,7";"236,0";"5,5";"";"0,0"
"09/06/2025";"0800";"18,3";"18,6";"18,3";"83,0";"83,0";"82,0";"15,4";"15,7";"15,3";"998,8";"998,9";"998,5";"0,4";"236,0";"4,7";"";"0,0"
"09/06/2025";"0900";"17,8";"18,3";"17,8";"85,0";"86,0";"83,0";"15,4";"15,5";"15,3";"999,2";"999,2";"998,7";"0,6";"236,0";"3,7";"";"0,0"
"09/06/2025";"1000";"17,7";"17,9";"17,7";"86,0";"87,0";"85,0";"15,3";"15,6";"15,3";"999,6";"999,6";"999,2";"1,2";"236,0";"4,3";"";"0,0"
"09/06/2025";"1100";"17,5";"17,7";"17,1";"85,0";"87,0";"85,0";"15,0";"15,3";"14,8";"1000,3";"1000,3";"999,6";"1,0";"236,0";"5,1";"93,60";"0,0"
"09/06/2025";"1200";"18,3";"18,3";"17,5";"82,0";"85,0";"79,0";"15,1";"15,1";"14,3";"1001,3";"1001,3";"1000,3";"1,4";"236,0";"4,5";"726,10";"0,0"
"09/06/2025";"1300";"19,2";"19,7";"18,0";"79,0";"82,0";"76,0";"15,4";"16,1";"14,1";"1001,6";"1001,7";"1001,3";"1,3";"236,0";"5,4";"1295,50";"0,0"
"09/06/2025";"1400";"20,9";"21,0";"19,2";"74,0";"80,0";"72,0";"16,1";"16,4";"15,1";"1001,4";"1001,7";"1001,3";"0,2";"236,0";"4,1";"1713,10";"0,0"
"09/06/2025";"1500";"21,8";"22,5";"20,5";"67,0";"75,0";"64,0";"15,4";"16,6";"14,8";"1001,0";"1001,4";"1000,8";"0,5";"236,0";"4,4";"1883,60";"0,0"
"09/06/2025";"1600";"22,8";"23,3";"21,8";"59,0";"70,0";"54,0";"14,3";"16,2";"12,8";"1000,3";"1001,0";"1000,2";"1,1";"236,0";"3,7";"1746,30";"0,0"
"09/06/2025";"1700";"22,8";"23,3";"22,2";"60,0";"62,0";"51,0";"14,6";"15,2";"12,7";"999,4";"1000,3";"999,3";"1,5";"236,0";"4,0";"1385,70";"0,0"
"09/06/2025";"1800";"22,5";"23,3";"22,4";"58,0";"63,0";"55,0";"13,7";"15,5";"13,0";"999,0";"999,4";"999,0";"0,7";"236,0";"4,0";"1398,80";"0,0"
"09/06/2025";"1900";"23,1";"23,1";"22,3";"56,0";"58,0";"52,0";"13,7";"13,9";"12,4";"999,0";"999,0";"998,9";"0,1";"236,0";"4,0";"1055,10";"0,0"
"09/06/2025";"2000";"22,2";"23,2";"22,1";"59,0";"60,0";"51,0";"13,9";"13,9";"12,1";"998,9";"999,0";"998,8";"0,0";"236,0";"2,7";"695,30";"0,0"
"09/06/2025";"2100";"21,0";"22,2";"21,0";"65,0";"65,0";"57,0";"14,1";"14,4";"13,1";"999,2";"999,2";"998,9";"0,0";"236,0";"3,5";"206,50";"0,0"
"09/06/2025";"2200";"19,4";"21,0";"19,2";"74,0";"75,0";"64,0";"14,5";"15,1";"13,8";"999,6";"999,6";"999,2";"0,0";"236,0";"0,0";"";"0,0"
"09/06/2025";"2300";"18,3";"19,4";"18,2";"74,0";"75,0";"72,0";"13,6";"14,7";"13,3";"1000,3";"1000,3";"999,6";"0,0";"236,0";"0,0";"";"0,0"
