"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"24/06/2025";"0000";"15,5";"16,4";"15,5";"72,0";"77,0";"70,0";"10,4";"12,1";"10,2";"1002,9";"1002,9";"1001,2";"0,3";"236,0";"3,4";"";"0,0"
"24/06/2025";"0100";"14,4";"15,5";"14,4";"70,0";"72,0";"68,0";"8,9";"10,5";"8,9";"1003,2";"1003,2";"1002,1";"1,4";"236,0";"6,8";"";"0,0"
"24/06/2025";"0200";"13,1";"14,4";"13,0";"71,0";"73,0";"66,0";"8,1";"8,9";"7,8";"1004,3";"1004,4";"1003,2";"0,7";"236,0";"3,7";"";"0,0"
"24/06/2025";"0300";"11,8";"13,2";"11,7";"76,0";"78,0";"70,0";"7,7";"8,3";"7,6";"1005,8";"1005,8";"1004,3";"0,1";"236,0";"2,1";"";"0,0"
"24/06/2025";"0400";"11,1";"12,1";"11,0";"75,0";"76,0";"73,0";"6,8";"7,9";"6,7";"1005,8";"1005,9";"1005,7";"0,9";"236,0";"4,0";"";"0,0"
"24/06/2025";"0500";"10,3";"11,2";"10,3";"72,0";"75,0";"72,0";"5,4";"6,8";"5,4";"1005,5";"1005,8";"1005,5";"0,7";"236,0";"4,4";"";"0,0"
"24/06/2025";"0600";"8,3";"10,3";"8,2";"82,0";"83,0";"72,0";"5,5";"5,5";"4,8";"1005,1";"1005,5";"1005,1";"0,0";"236,0";"3,4";"";"0,0"
"24/06/2025";"0700";"7,3";"8,3";"7,3";"87,0";"87,0";"82,0";"5,3";"5,6";"5,3";"1004,8";"1005,2";"1004,8";"0,0";"236,0";"0,0";"";"0,0"
"24/06/2025";"0800";"7,3";"7,6";"7,3";"89,0";"89,0";"87,0";"5,6";"5,7";"5,2";"1004,9";"1005,0";"1004,8";"0,0";"236,0";"0,0";"";"0,0"
"24/06/2025";"0900";"6,3";"7,4";"6,3";"91,0";"91,0";"88,0";"5,0";"5,6";"4,9";"1005,0";"1005,0";"1004,8";"0,0";"236,0";"0,0";"";"0,0"
